Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,O_U_2.5,BTTS,Home_Pts_Last_5,Away_Pts_Last_5,Home_Avg_GF,Home_Avg_GA,Away_Avg_GF,Away_Avg_GA,Home_Avg_SOT,Away_Avg_SOT,H2H_Home_Win_Rate,Home_Elo,Away_Elo,Home_Goal_Difference,Away_Goal_Difference,Elo_Difference,PSH,PSD,PSA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
SP1,03/09/2022,20:00,Sevilla,Barcelona,0,3,A,1,0,1,7,1.0,1.6666666666666667,2.6666666666666665,0.3333333333333333,3.3333333333333335,7.333333333333333,0.5,1482.1462504615965,1517.5842803956846,-0.6666666666666667,2.333333333333333,44.561970065911964,4.67,3.77,1.83,1.81,2.1,1.79,2.05
SP1,04/09/2022,13:00,Osasuna,Vallecano,2,1,H,1,1,6,4,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.3333333333333335,1.6666666666666667,0.5,1507.3324581234997,1501.6085338683265,0.6666666666666666,0.0,85.72392425517319,2.07,3.09,4.61,2.4,1.63,2.33,1.61
SP1,04/09/2022,15:15,Ath Bilbao,Espanol,0,1,A,0,0,7,1,1.6666666666666667,0.0,1.0,2.3333333333333335,5.333333333333333,2.3333333333333335,0.5,1517.3133453845658,1478.6872385887025,1.6666666666666667,-1.3333333333333335,118.62610679586328,1.58,4.07,6.75,2.11,1.8,2.06,1.78
SP1,04/09/2022,17:30,Villarreal,Elche,4,0,H,1,0,7,1,1.6666666666666667,0.0,0.3333333333333333,1.6666666666666667,5.0,3.3333333333333335,0.5,1525.5464878837813,1477.8814000619375,1.6666666666666667,-1.3333333333333335,127.66508782184383,1.37,5.17,9.9,1.74,2.2,1.73,2.13
SP1,04/09/2022,20:00,Valencia,Getafe,5,1,H,1,1,3,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,0.5,1487.4699689040426,1479.1021994305322,-0.3333333333333333,-1.6666666666666667,88.3677694735104,2.01,3.12,4.85,2.77,1.5,2.62,1.48
SP1,05/09/2022,20:00,Valladolid,Almeria,1,0,H,0,0,1,4,0.3333333333333333,2.6666666666666665,1.3333333333333333,1.3333333333333333,4.0,6.0,0.5,1482.93166142227,1497.8537495384035,-2.333333333333333,0.0,65.07791188386659,2.38,3.32,3.31,2.13,1.79,2.09,1.76
SP1,09/09/2022,20:00,Girona,Valladolid,2,1,H,1,1,4,4,1.0,1.0,0.5,2.0,3.5,4.5,0.5,1489.9257028341556,1491.0801711091501,0.0,-1.5,78.84553172500546,2.3,3.23,3.61,2.24,1.72,2.2,1.68
SP1,10/09/2022,13:00,Vallecano,Valencia,2,1,H,1,1,4,6,0.75,1.0,1.5,0.75,2.0,3.25,0.5,1494.0269884322527,1494.9800021403516,-0.25,0.75,79.04698629190102,2.69,3.16,3.0,2.17,1.76,2.15,1.71
SP1,10/09/2022,15:15,Espanol,Sevilla,2,3,A,1,1,4,1,1.0,1.75,0.75,2.0,2.25,3.5,0.5,1491.9748031595116,1470.8706410240236,-0.75,-1.25,101.10416213548797,3.0,3.27,2.61,2.23,1.72,2.19,1.68
SP1,10/09/2022,17:30,Cadiz,Barcelona,0,4,A,1,0,0,10,0.0,2.5,2.75,0.25,1.75,7.25,0.5,1462.026931073003,1528.8598898332575,-2.5,2.5,13.167041239745458,14.0,6.18,1.25,1.63,2.39,1.59,2.35
SP1,10/09/2022,20:00,Ath Madrid,Celta,4,1,H,1,1,7,7,1.25,0.75,1.75,1.5,6.0,4.0,0.5,1514.5001385893286,1505.4638209375396,0.5,0.25,89.03631765178898,1.66,3.87,6.07,2.1,1.81,2.05,1.78
SP1,11/09/2022,13:00,Real Madrid,Mallorca,4,1,H,1,1,12,5,2.75,1.0,1.0,0.75,8.0,4.25,0.5,1542.9583927091576,1500.3765914076782,1.75,0.25,122.58180130147935,1.28,6.19,11.58,1.53,2.63,1.49,2.6
SP1,11/09/2022,15:15,Elche,Ath Bilbao,1,4,A,1,1,1,7,0.25,2.25,1.25,0.25,2.5,4.5,0.5,1471.3989895133946,1504.0257808137567,-2.0,1.0,47.37320869963787,4.31,3.54,1.96,2.26,1.7,2.21,1.67
SP1,11/09/2022,17:30,Getafe,Sociedad,2,1,H,1,1,1,7,0.5,2.75,1.0,1.25,2.25,5.5,0.5,1471.5921661942232,1509.3577501578588,-2.25,-0.25,42.23441603636434,3.98,3.12,2.22,2.71,1.52,2.63,1.49
SP1,11/09/2022,20:00,Betis,Villarreal,1,0,H,0,0,9,10,1.75,0.75,2.25,0.0,4.0,6.25,0.5,1519.933098227936,1532.0288984323242,1.0,2.25,67.9041997956117,2.95,3.54,2.5,1.88,2.04,1.85,1.97
SP1,12/09/2022,20:00,Almeria,Osasuna,0,1,A,0,0,4,9,1.0,1.25,1.5,0.75,4.75,4.0,0.5,1489.7052398515234,1514.9140035595735,-0.25,0.75,54.79123629194987,2.76,3.24,2.85,2.3,1.68,2.23,1.66
SP1,16/09/2022,20:00,Valladolid,Cadiz,0,1,A,0,0,4,0,0.6,2.0,0.0,2.8,4.4,1.4,0.5,1483.311356917798,1451.6481344925976,-1.4,-2.8,111.6632224252005,2.05,3.24,4.42,2.47,1.6,2.41,1.58
SP1,17/09/2022,13:00,Mallorca,Almeria,1,0,H,0,0,5,4,1.0,1.4,0.8,1.2,3.8,4.2,0.5,1493.76532154536,1478.1411659630946,-0.3999999999999999,-0.3999999999999999,95.6241555822653,2.04,3.33,4.3,2.32,1.67,2.23,1.66
SP1,17/09/2022,15:15,Barcelona,Elche,3,0,H,1,0,13,1,3.0,0.2,0.4,2.6,7.4,2.4,0.5,1539.238686413663,1460.0438665437123,2.8,-2.2,159.1948198699506,1.11,11.42,23.95,1.34,3.45,1.28,3.62
SP1,17/09/2022,17:30,Valencia,Celta,3,0,H,1,0,6,7,1.4,1.0,1.6,2.0,3.4,3.8,0.5,1487.216696912395,1497.9718283846034,0.3999999999999999,-0.3999999999999999,69.2448685277916,2.42,3.22,3.36,2.23,1.72,2.17,1.7
SP1,17/09/2022,20:00,Ath Bilbao,Vallecano,3,2,H,1,1,10,7,1.8,0.4,1.0,1.0,5.2,2.8,0.5,1515.380903783439,1501.7902936602093,1.4,0.0,93.59061012322968,1.56,4.19,6.92,2.05,1.86,1.99,1.83
SP1,18/09/2022,13:00,Osasuna,Getafe,0,2,A,0,0,12,4,1.4,0.6,0.8,2.4,4.0,2.4,0.5,1526.4780774480023,1480.3825144385576,0.7999999999999999,-1.5999999999999999,126.09556300944473,1.88,3.25,5.45,2.68,1.53,2.58,1.51
SP1,18/09/2022,15:15,Villarreal,Sevilla,1,1,D,0,1,10,4,1.8,0.2,1.2,2.0,5.6,4.2,0.5,1523.958827389261,1483.70120132027,1.6,-0.8,120.25762606899093,1.72,3.97,5.19,1.93,1.98,1.9,1.92
SP1,18/09/2022,17:30,Betis,Girona,2,1,H,1,1,12,7,1.6,0.6,1.2,1.0,4.2,3.8,0.5,1528.0031692709993,1497.6945170255076,1.0,0.19999999999999996,110.30865224549166,1.78,3.63,5.4,2.2,1.74,2.09,1.75
SP1,18/09/2022,17:30,Sociedad,Espanol,2,1,H,1,1,7,4,1.0,1.4,1.2,2.0,5.6,2.8,0.5,1500.5674019135245,1479.1442428632652,-0.3999999999999999,-0.8,101.4231590502593,1.76,3.87,5.11,2.03,1.88,1.99,1.83
SP1,18/09/2022,20:00,Ath Madrid,Real Madrid,1,2,A,1,1,10,15,1.8,0.8,3.0,1.0,5.6,7.8,0.5,1521.9921311422647,1549.5696625714759,1.0,2.0,52.42246857078885,3.23,3.54,2.33,1.93,1.98,1.91,1.91
SP1,30/09/2022,20:00,Ath Bilbao,Almeria,4,0,H,1,0,12,4,2.4,0.8,0.6,1.0,5.4,3.6,0.5,1522.7504680243499,1470.8259976832146,1.5999999999999999,-0.4,131.92447034113525,1.39,5.0,9.35,1.77,2.16,1.74,2.11
SP1,01/10/2022,13:00,Cadiz,Villarreal,0,0,D,0,0,3,8,0.2,2.6,1.4,0.4,1.2,6.2,0.5,1464.7557901396553,1520.6294441420189,-2.4,0.9999999999999999,24.126345997636463,5.82,4.1,1.64,2.01,1.89,1.98,1.84
SP1,01/10/2022,15:15,Getafe,Valladolid,2,3,A,1,1,7,4,1.2,1.8,0.6,1.6,3.2,4.4,0.5,1493.8604562464661,1470.2037012707406,-0.6000000000000001,-1.0,103.65675497572556,2.36,3.1,3.62,2.5,1.59,2.43,1.56
SP1,01/10/2022,17:30,Sevilla,Ath Madrid,0,2,A,0,0,5,7,1.2,1.8,1.4,1.2,3.8,5.6,0.5,1487.030584567512,1510.4946379650548,-0.6000000000000001,0.19999999999999996,56.535946602457216,3.15,3.25,2.52,2.4,1.64,2.32,1.62
SP1,01/10/2022,20:00,Mallorca,Barcelona,0,1,A,0,0,7,15,1.2,1.4,3.6,0.2,3.8,8.0,0.5,1501.08048982524,1544.9525300324474,-0.19999999999999996,3.4,36.12795979279258,8.8,5.53,1.37,1.65,2.36,1.62,2.31
SP1,02/10/2022,13:00,Espanol,Valencia,2,2,D,1,1,3,6,1.0,2.0,1.8,1.0,3.2,4.4,0.5,1471.9832468061131,1495.2496454790646,-1.0,0.8,56.73360132704852,2.8,3.29,2.77,2.09,1.82,2.02,1.81
SP1,02/10/2022,15:15,Celta,Betis,1,0,H,0,0,6,12,1.2,2.2,1.4,0.8,3.6,3.2,0.5,1489.9388798179339,1534.9307785933313,-1.0000000000000002,0.5999999999999999,35.00810122460257,2.51,3.49,2.96,2.03,1.88,2.0,1.82
