Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,O_U_2.5,BTTS,Home_Pts_Last_5,Away_Pts_Last_5,Home_Avg_GF,Home_Avg_GA,Away_Avg_GF,Away_Avg_GA,Home_Avg_SOT,Away_Avg_SOT,H2H_Home_Win_Rate,Home_Elo,Away_Elo,Home_Goal_Difference,Away_Goal_Difference,Elo_Difference,PSH,PSD,PSA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
I1,31/08/2022,17:30,Empoli,Verona,1,1,D,0,1,2,1,0.3333333333333333,0.6666666666666666,1.0,2.3333333333333335,3.3333333333333335,2.6666666666666665,0.5,1492.4061532649587,1478.4063563677294,-0.3333333333333333,-1.3333333333333335,93.99979689722932,2.79,3.39,2.71,1.87,2.05,1.83,2.01
I1,31/08/2022,19:45,Juventus,Spezia,2,0,H,0,0,5,4,1.3333333333333333,0.3333333333333333,1.0,1.6666666666666667,3.6666666666666665,1.3333333333333333,0.5,1507.4596937754065,1497.8537495384035,1.0,-0.6666666666666667,89.60594423700309,1.29,5.91,11.23,1.71,2.23,1.66,2.23
I1,31/08/2022,19:45,Napoli,Lecce,1,1,D,0,1,7,1,3.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,5.0,3.3333333333333335,0.5,1521.3361834762745,1478.1436672460543,2.3333333333333335,-0.6666666666666666,123.19251623022024,1.27,6.48,11.48,1.47,2.78,1.45,2.74
I1,01/09/2022,19:45,Atalanta,Torino,3,1,H,1,1,7,7,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,4.0,4.0,0.5,1521.5936436322706,1521.4519767726588,1.0,0.6666666666666666,80.14166685961186,1.73,3.86,5.36,1.76,2.18,1.7,2.17
I1,01/09/2022,19:45,Bologna,Salernitana,1,1,D,0,1,1,4,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.3333333333333333,2.6666666666666665,4.666666666666667,0.5,1482.684620393817,1497.7489266073285,-1.0,1.0,64.93569378648863,1.91,3.6,4.49,1.81,2.09,1.79,2.04
I1,03/09/2022,14:00,Fiorentina,Juventus,1,1,D,0,1,5,8,0.75,0.75,1.5,0.25,5.0,3.5,0.5,1499.685768453122,1514.9363287588446,0.0,1.25,64.74943969427727,3.17,3.27,2.49,2.13,1.79,2.11,1.74
I1,03/09/2022,17:00,Milan,Inter,3,2,H,1,1,8,9,1.75,0.75,2.25,1.25,5.25,7.75,0.5,1519.1600023500866,1518.5902187591307,1.0,1.0,80.56978359095592,2.91,3.3,2.67,1.9,2.01,1.84,1.99
I1,03/09/2022,19:45,Lazio,Napoli,1,2,A,1,1,8,8,1.5,0.75,2.5,0.75,5.25,5.5,0.5,1519.2824564971788,1517.9319033724655,0.75,1.75,81.35055312471331,3.04,3.58,2.42,1.76,2.16,1.72,2.14
I1,04/09/2022,11:30,Cremonese,Sassuolo,0,0,D,0,0,0,5,1.0,2.25,0.75,1.25,4.25,5.25,0.5,1466.7701593213212,1500.3016277176928,-1.25,-0.5,46.468531603628435,3.1,3.64,2.35,1.7,2.26,1.68,2.19
I1,04/09/2022,14:00,Spezia,Bologna,2,2,D,1,1,4,2,0.75,1.75,0.75,1.5,1.0,3.0,0.5,1490.3771145549654,1480.8370834247276,-1.0,-0.75,89.54003113023782,3.18,3.24,2.5,1.93,1.98,1.86,1.96
I1,04/09/2022,17:00,Verona,Sampdoria,2,1,H,1,1,2,2,1.0,2.0,0.25,1.75,2.75,2.75,0.5,1481.0477511718213,1477.2475884650034,-1.0,-1.5,83.8001627068179,2.1,3.55,3.79,1.96,1.94,1.89,1.93
I1,04/09/2022,19:45,Udinese,Roma,4,0,H,1,0,7,10,1.25,1.25,1.5,0.25,3.25,7.0,0.5,1509.7796019111615,1527.8025532690976,0.0,1.25,61.97704864206389,4.11,3.71,1.96,1.87,2.04,1.82,2.01
I1,05/09/2022,17:30,Monza,Atalanta,0,2,A,0,0,0,10,0.5,2.75,1.75,0.5,2.75,4.25,0.5,1462.2950521813034,1529.3270388533635,-2.25,1.25,12.968013327939843,5.51,4.39,1.63,1.66,2.35,1.65,2.26
I1,05/09/2022,17:30,Salernitana,Empoli,2,2,D,1,1,5,3,1.25,0.5,0.5,0.75,4.5,3.5,0.5,1499.596463576418,1489.7647584608667,0.75,-0.25,89.83170511555136,2.28,3.47,3.39,1.93,1.98,1.9,1.92
I1,05/09/2022,19:45,Torino,Lecce,1,0,H,0,0,7,2,1.25,1.25,0.75,1.25,3.5,3.5,0.5,1513.7185815515659,1481.5479473498633,0.0,-0.5,112.17063420170257,1.77,3.61,5.51,1.9,2.01,1.83,1.99
I1,10/09/2022,14:00,Napoli,Spezia,1,0,H,0,0,11,5,2.4,0.8,1.0,1.8,5.8,1.8,0.5,1530.2314889827364,1487.8555259577208,1.5999999999999999,-0.8,122.37596302501561,1.26,6.62,11.46,1.49,2.72,1.48,2.65
I1,10/09/2022,17:00,Inter,Torino,1,0,H,0,0,9,10,2.2,1.6,1.2,1.0,7.2,3.6,0.5,1510.8685094061889,1520.597737846051,0.6000000000000001,0.19999999999999996,70.27077156013797,1.47,4.9,7.14,1.7,2.27,1.67,2.23
I1,10/09/2022,19:45,Sampdoria,Milan,1,2,A,1,1,2,11,0.4,1.8,2.0,1.0,2.8,5.2,0.5,1469.6138419177048,1526.8817117030285,-1.4,1.0,22.732130214676317,6.6,4.51,1.53,1.79,2.12,1.75,2.09
I1,11/09/2022,11:30,Atalanta,Cremonese,1,1,D,0,1,13,1,1.8,0.4,0.8,1.8,4.6,3.4,0.5,1539.700115046102,1465.4406058523355,1.4,-1.0,154.25950919376646,1.35,5.68,9.41,1.59,2.51,1.58,2.39
I1,11/09/2022,14:00,Lecce,Monza,1,1,D,0,1,2,0,0.6,1.2,0.4,2.6,3.2,2.8,0.5,1474.6687910553783,1451.921975988565,-0.6,-2.2,102.74681506681327,2.37,3.35,3.31,2.03,1.88,1.97,1.84
I1,11/09/2022,14:00,Bologna,Fiorentina,2,1,H,1,1,3,6,1.0,1.6,0.8,0.8,3.6,5.0,0.5,1483.358672021972,1497.8434098341465,-0.6000000000000001,0.0,65.51526218782556,3.07,3.37,2.5,1.95,1.95,1.91,1.9
I1,11/09/2022,14:00,Sassuolo,Udinese,1,3,A,1,1,6,10,0.6,1.0,1.8,1.0,5.6,3.6,0.5,1501.6311811866785,1518.0144424769358,-0.4,0.8,63.616738709742776,2.73,3.59,2.65,1.71,2.25,1.67,2.21
I1,11/09/2022,17:00,Lazio,Verona,2,0,H,0,0,8,5,1.4,1.0,1.2,1.8,4.6,4.0,0.5,1506.982870886908,1488.68149771912,0.3999999999999999,-0.6000000000000001,98.30137316778792,1.61,4.35,5.74,1.7,2.27,1.67,2.21
I1,11/09/2022,19:45,Juventus,Salernitana,2,2,D,1,1,9,6,1.4,0.4,1.4,0.8,3.0,4.4,0.5,1516.77868737782,1497.0670153844294,0.9999999999999999,0.5999999999999999,99.71167199339061,1.44,4.86,8.08,1.82,2.09,1.78,2.05
I1,12/09/2022,19:45,Empoli,Roma,1,2,A,1,1,4,10,0.8,1.0,1.2,1.0,3.8,6.0,0.5,1492.2942066528553,1519.5677127033234,-0.19999999999999996,0.19999999999999996,52.726493949531914,4.78,4.0,1.77,1.84,2.06,1.79,2.03
I1,16/09/2022,19:45,Salernitana,Lecce,1,2,A,1,1,7,3,1.8,1.0,0.6,1.0,5.0,3.0,0.5,1499.8606660829273,1471.7947979112712,0.8,-0.4,108.06586817165612,2.3,3.35,3.46,2.07,1.85,2.01,1.81
I1,17/09/2022,14:00,Bologna,Empoli,0,1,A,0,0,6,4,1.2,1.4,1.0,1.2,3.8,3.4,0.5,1491.49502811133,1480.7881602747466,-0.19999999999999996,-0.19999999999999996,90.70686783658334,2.17,3.57,3.54,1.91,2.0,1.88,1.94
I1,17/09/2022,17:00,Spezia,Sampdoria,2,1,H,1,1,2,2,0.8,2.0,0.6,1.8,1.6,3.4,0.5,1481.239010880813,1458.960490652846,-1.2,-1.2000000000000002,102.27852022796719,2.78,3.24,2.82,2.1,1.81,2.0,1.8
I1,17/09/2022,19:45,Torino,Sassuolo,0,1,A,0,0,7,6,0.8,1.0,0.8,1.0,3.8,4.6,0.5,1512.5931580633646,1489.820336543096,-0.19999999999999996,-0.19999999999999996,102.77282152026874,1.85,3.81,4.49,1.81,2.1,1.77,2.07
I1,18/09/2022,11:30,Udinese,Inter,3,1,H,1,1,13,9,2.0,0.4,2.0,1.4,3.6,6.0,0.5,1529.8252871205184,1518.8730891888752,1.6,0.6000000000000001,90.95219793164324,4.07,3.89,1.92,1.75,2.19,1.68,2.2
I1,18/09/2022,14:00,Fiorentina,Verona,2,0,H,0,0,3,5,0.4,0.8,0.8,1.2,3.2,3.6,0.5,1489.7070537447887,1481.4376824441704,-0.4,-0.3999999999999999,88.26937130061833,1.84,3.86,4.53,1.82,2.08,1.79,2.04
I1,18/09/2022,14:00,Monza,Juventus,1,0,H,0,0,1,7,0.4,2.4,1.2,0.8,2.2,3.6,0.5,1454.795969132672,1513.985036679322,-2.0,0.3999999999999999,20.810932453350006,4.62,3.73,1.85,2.0,1.91,1.94,1.87
I1,18/09/2022,14:00,Cremonese,Lazio,0,4,A,1,0,2,8,0.6,1.4,1.4,0.8,3.4,4.6,0.5,1469.6101063006004,1514.2266861618575,-0.7999999999999999,0.5999999999999999,35.38342013874285,4.25,4.01,1.85,1.75,2.18,1.72,2.14
I1,18/09/2022,17:00,Roma,Atalanta,0,1,A,0,0,10,11,1.4,1.2,1.6,0.6,6.4,5.2,0.5,1531.0737590814322,1535.530614597837,0.19999999999999996,1.0,75.54314448359514,2.12,3.56,3.71,1.88,2.02,1.83,2.0
I1,18/09/2022,19:45,Milan,Napoli,1,2,A,1,1,11,11,1.6,0.8,1.6,0.4,5.0,5.4,0.5,1537.5350629678874,1536.8480040596442,0.8,1.2000000000000002,80.68705890824322,2.18,3.57,3.54,1.93,1.98,1.88,1.94
I1,01/10/2022,14:00,Napoli,Torino,3,1,H,1,1,11,6,1.2,0.6,0.8,1.2,5.2,4.2,0.5,1549.1294947088143,1499.718478235147,0.6,-0.3999999999999999,129.41101647366736,1.62,4.24,5.85,1.88,2.04,1.8,2.02
I1,01/10/2022,17:00,Inter,Roma,1,2,A,1,1,6,7,1.6,2.0,1.2,1.4,5.0,5.0,0.5,1511.4326996330099,1518.9330810500098,-0.3999999999999999,-0.19999999999999996,72.49961858300003,2.1,3.54,3.78,1.88,2.02,1.81,2.02
I1,01/10/2022,19:45,Empoli,Milan,1,3,A,1,1,6,10,1.2,1.2,1.6,1.0,4.0,4.6,0.5,1493.3411709792686,1525.2535723187173,0.0,0.6000000000000001,48.08759866055129,5.65,4.24,1.63,1.83,2.07,1.81,2.02
I1,02/10/2022,11:30,Lazio,Spezia,4,0,H,1,0,10,5,2.2,0.8,1.2,1.6,5.4,2.2,0.5,1525.2415964919808,1488.3773878189318,1.4000000000000001,-0.40000000000000013,116.864208673049,1.42,5.15,7.98,1.65,2.37,1.63,2.29
I1,02/10/2022,14:00,Sampdoria,Monza,0,3,A,1,0,1,4,0.8,2.2,0.6,1.6,4.8,2.8,0.5,1451.8221137147273,1464.1976976791916,-1.4000000000000001,-1.0,67.62441603553566,2.39,3.35,3.27,2.0,1.91,1.95,1.87
I1,02/10/2022,14:00,Lecce,Cremonese,1,1,D,0,1,6,2,1.0,1.0,0.6,2.0,3.6,3.4,0.5,1484.8086142061136,1458.595195970477,0.0,-1.4,106.21341823563648,2.12,3.56,3.71,2.06,1.86,1.99,1.83
I1,02/10/2022,14:00,Sassuolo,Salernitana,5,0,H,1,0,6,6,0.8,1.0,2.0,1.4,5.0,4.6,0.5,1502.6950163713136,1486.846849788085,-0.19999999999999996,0.6000000000000001,95.8481665832287,2.12,3.68,3.57,1.75,2.19,1.69,2.18
I1,02/10/2022,17:00,Atalanta,Fiorentina,1,0,H,0,0,13,5,1.6,0.4,0.8,0.8,5.0,4.6,0.5,1547.6712926292594,1497.219743705429,1.2000000000000002,0.0,130.4515489238304,1.99,3.64,4.05,1.93,1.98,1.89,1.93
