Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,O_U_2.5,BTTS,Home_Pts_Last_5,Away_Pts_Last_5,Home_Avg_GF,Home_Avg_GA,Away_Avg_GF,Away_Avg_GA,Home_Avg_SOT,Away_Avg_SOT,H2H_Home_Win_Rate,Home_Elo,Away_Elo,Home_Goal_Difference,Away_Goal_Difference,Elo_Difference,PSH,PSD,PSA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
P1,28/08/2022,20:30,Rio Ave,Porto,3,1,H,1,1,1,9,0.6666666666666666,2.0,3.0,0.3333333333333333,2.6666666666666665,5.333333333333333,0.5,1483.1868772810392,1527.5753416408418,-1.3333333333333335,2.6666666666666665,35.61153564019742,10.53,5.66,1.32,1.71,2.22,1.64,2.23
P1,29/08/2022,19:00,Guimaraes,Casa Pia,0,1,A,0,0,6,4,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,5.0,3.0,0.5,1511.5936436322706,1498.7054630589073,0.33333333333333337,0.3333333333333333,92.88818057336334,2.08,3.37,3.89,2.21,1.71,2.12,1.71
P1,29/08/2022,21:15,Vizela,Gil Vicente,2,2,D,1,1,4,4,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,4.0,4.666666666666667,0.5,1502.1462504615965,1496.7873954669753,0.0,0.0,85.3588549946212,2.46,3.27,3.12,2.09,1.79,2.03,1.77
P1,30/08/2022,20:15,Benfica,Pacos Ferreira,3,2,H,1,1,9,0,2.6666666666666665,0.0,0.0,2.3333333333333335,5.333333333333333,4.333333333333333,0.5,1531.8711136798124,1468.0957171914274,2.6666666666666665,-2.3333333333333335,143.775396488385,1.09,11.39,40.26,1.36,3.18,1.34,3.18
P1,02/09/2022,19:00,Benfica,Vizela,2,1,H,1,1,12,5,2.75,0.5,1.0,1.0,5.5,5.25,0.5,1537.9540095832442,1499.737691368882,2.25,0.0,118.21631821436222,1.19,7.5,15.97,1.4,3.05,1.38,2.97
P1,02/09/2022,21:15,Estoril,Sp Lisbon,0,2,A,0,0,7,4,1.75,0.75,1.5,2.0,5.0,6.0,0.5,1509.1101328373004,1489.7752778782133,1.0,-0.5,99.33485495908712,7.23,4.55,1.48,1.76,2.15,1.74,2.1
P1,03/09/2022,15:30,Sp Braga,Guimaraes,1,0,H,0,0,10,6,4.25,0.75,0.75,0.75,8.75,4.25,0.5,1528.9293197429988,1498.9820365174162,3.5,0.0,109.94728322558262,1.39,5.1,8.52,1.68,2.28,1.63,2.27
P1,03/09/2022,20:30,Gil Vicente,Porto,0,2,A,0,0,5,9,0.75,0.75,2.5,1.0,4.5,6.5,0.5,1499.1959545596899,1518.5967495995217,0.0,1.5,60.59920496016821,8.1,4.65,1.44,1.75,2.16,1.71,2.13
P1,04/09/2022,15:30,Casa Pia,Arouca,0,0,D,0,0,7,6,0.75,0.25,0.75,2.75,2.75,3.5,0.5,1511.3170701737617,1500.2706169558824,0.5,-2.0,91.04645321787939,2.15,3.04,4.28,2.41,1.62,2.29,1.6
P1,04/09/2022,18:00,Santa Clara,Maritimo,2,1,H,1,1,1,0,0.5,1.25,0.5,3.25,2.25,3.5,0.5,1470.7918097713932,1461.665610065518,-0.75,-2.75,89.12619970587525,2.05,3.21,4.36,2.29,1.68,2.23,1.65
P1,04/09/2022,20:30,Portimonense,Famalicao,1,0,H,0,0,9,4,1.5,0.5,0.25,1.25,5.5,4.0,0.5,1519.68117592772,1490.549941238821,1.0,-1.0,109.13123468889899,2.42,3.1,3.43,2.22,1.71,2.14,1.7
P1,05/09/2022,19:00,Boavista,Pacos Ferreira,1,0,H,0,0,6,0,0.75,1.5,0.5,2.5,3.5,3.75,0.5,1499.0306959515133,1462.0128212879956,-0.75,-2.0,117.01787466351766,2.05,3.28,4.17,2.24,1.69,2.22,1.65
P1,05/09/2022,21:15,Chaves,Rio Ave,1,1,D,0,1,7,4,1.25,0.75,1.25,1.75,4.5,3.0,0.5,1510.233617217769,1492.1654693223593,0.5,-0.5,98.06814789540977,2.54,3.17,3.09,2.26,1.68,2.25,1.63
P1,09/09/2022,20:15,Guimaraes,Santa Clara,1,0,H,0,0,6,4,0.6,0.8,0.8,1.2,4.0,2.6,0.5,1492.0450049656558,1478.2813781939633,-0.20000000000000007,-0.3999999999999999,93.76362677169254,2.03,3.3,4.3,2.3,1.67,2.22,1.66
P1,10/09/2022,15:30,Famalicao,Benfica,0,1,A,0,0,4,15,0.2,1.2,2.6,0.6,3.4,5.6,0.5,1483.5916102073777,1544.6769689750245,-1.0,2.0,18.914641232353233,8.58,4.8,1.41,1.7,2.24,1.68,2.17
P1,10/09/2022,18:00,Sp Lisbon,Portimonense,4,0,H,1,0,7,12,1.6,1.6,1.4,0.4,5.6,4.6,0.5,1502.5589263322759,1526.6395069591633,0.0,0.9999999999999999,55.91941937311253,1.32,5.6,10.39,1.66,2.31,1.66,2.2
P1,10/09/2022,20:30,Porto,Chaves,3,0,H,1,0,12,8,2.4,0.8,1.2,0.8,6.0,4.8,0.5,1530.3234604360084,1507.4836364638873,1.5999999999999999,0.3999999999999999,102.83982397212117,1.15,8.59,20.96,1.5,2.68,1.5,2.54
P1,11/09/2022,15:30,Pacos Ferreira,Casa Pia,2,3,A,1,1,0,8,0.4,2.2,0.6,0.2,3.2,2.4,0.5,1455.2590375035966,1508.7549247580432,-1.8000000000000003,0.39999999999999997,26.504112745553357,2.97,3.08,2.73,2.53,1.57,2.42,1.56
P1,11/09/2022,18:00,Maritimo,Gil Vicente,1,2,A,1,1,0,5,0.6,3.0,0.6,1.0,3.8,4.0,0.5,1454.176041642948,1487.4692437232031,-2.4,-0.4,46.70679791974476,2.94,3.1,2.75,2.26,1.69,2.19,1.66
P1,11/09/2022,18:00,Arouca,Boavista,1,2,A,1,1,7,9,0.6,2.2,0.8,1.2,3.0,3.4,0.5,1502.832762371601,1505.7844797359123,-1.6,-0.3999999999999999,77.04828263568857,2.76,3.19,2.85,2.37,1.63,2.32,1.6
P1,11/09/2022,20:30,Rio Ave,Sp Braga,2,3,A,1,1,5,13,1.2,1.6,3.6,0.6,3.0,7.4,0.5,1494.915450076241,1535.8663512947592,-0.40000000000000013,3.0,39.049098781481916,5.94,4.03,1.63,1.87,2.03,1.8,2.0
P1,12/09/2022,20:15,Vizela,Estoril,0,1,A,0,0,5,7,1.0,1.2,1.4,1.0,4.6,4.0,0.5,1493.0147319771017,1496.3264843832378,-0.19999999999999996,0.3999999999999999,76.68824759386393,2.33,3.26,3.37,2.21,1.71,2.17,1.67
